video_title,video_url,video_views,video_uploaded_on,scrapped_on
"Everything about Right to Information Act, 2005 | 2019 Amendment | How to File RTI?",https://www.youtube.com/watch?v=d24o_s9ryis,129K views,1 year ago,2022-09-09 14:12:18.384721
Rights of Arrested Person | Code of Criminal Procedure | Indian Constitution,https://www.youtube.com/watch?v=EXZj-gdfW4g,76K views,1 year ago,2022-09-09 14:12:18.384721
"What is a Development Finance Institution (DFI) | What is NaBFID Bill, 2021: Explained",https://www.youtube.com/watch?v=NAOchbjdtR0,33K views,1 year ago,2022-09-09 14:12:18.384721
Powers of a Lt. Governor: National Capital Territory of Delhi (Amendment) Bill 2021,https://www.youtube.com/watch?v=DDw5Uo5B6Pw,69K views,1 year ago,2022-09-09 14:12:18.384721
Jobs Quota for Locals? Reservation in Private Jobs: Explained,https://www.youtube.com/watch?v=D9WM8yDfxRU,16K views,1 year ago,2022-09-09 14:12:18.384721
75% Reservation quota in Private Sector Jobs? Good or Bad?,https://www.youtube.com/shorts/1UFc-JWIGbo,174K views,1 year ago,2022-09-09 14:12:18.384721
Explained: Medical Termination of Pregnancy (Amendment) Bill 2021,https://www.youtube.com/shorts/jBuTZ90jcRM,260K views,1 year ago,2022-09-09 14:12:18.384721
Kesavananda Bharati v. State of Kerala | Most important case of Indian Constitution,https://www.youtube.com/watch?v=skR6Z6TwdcM,940K views,1 year ago,2022-09-09 14:12:18.384721
Tricks & Techniques to Remember Orders of CPC | Learn CPC quickly | Orders of Civil Procedure Code,https://www.youtube.com/watch?v=Qd1SzqrYZUw,124K views,1 year ago,2022-09-09 14:12:18.384721
What is Bail? Section 436-439 of CrPC | Procedure for Bail,https://www.youtube.com/watch?v=IR82hUlSM8o,185K views,1 year ago,2022-09-09 14:12:18.384721
February 2021 | Monthly Current Affairs 2021 - February | Current Affairs 2021,https://www.youtube.com/watch?v=2LcMIBCm_1E,65K views,1 year ago,2022-09-09 14:12:18.384721
Government Exams/Jobs for a Law Student | Career Options After LLB,https://www.youtube.com/watch?v=GNExywhBDZw,557K views,1 year ago,2022-09-09 14:12:18.384721
Shabnam Case and Remedies available to Death Penalty | Mercy Petition in India,https://www.youtube.com/watch?v=fV4VXd9IJBo,516K views,1 year ago,2022-09-09 14:12:18.384721
Tricks to Remember Orders of CPC | Learn CPC easily & quickly | Orders of Civil Procedure Code,https://www.youtube.com/watch?v=N1EEbgBOH4E,609K views,1 year ago,2022-09-09 14:12:18.384721
Priya Ramani v. MJ Akbar Case | Defamation Case | India`s #Metoo Movement,https://www.youtube.com/watch?v=EBvIAvoIfQw,46K views,1 year ago,2022-09-09 14:12:18.384721
What is Toolkit Case and Who is Disha Ravi?,https://www.youtube.com/watch?v=DnLPHoWhp7U,240K views,1 year ago,2022-09-09 14:12:18.384721
"Story of World War 2 | Reasons, Impact and Aftermath of WW2",https://www.youtube.com/watch?v=f7W4bKFR4Ng,193K views,1 year ago,2022-09-09 14:12:18.384721
World War 1 Explained | What happened during World War 1 | Reasons and Aftermath of WW1,https://www.youtube.com/watch?v=tijQPfaN4sI,394K views,1 year ago,2022-09-09 14:12:18.384721
Main Reasons for Farmers Protest #Short,https://www.youtube.com/shorts/GdYVvqjkm8k,139K views,1 year ago,2022-09-09 14:12:18.384721
Farm Law Protests - Who is Right? Farmers or Government? 3 Farm Laws Protests and Debate,https://www.youtube.com/watch?v=lwrDi1ZMREI,346K views,1 year ago,2022-09-09 14:12:18.384721
Uttarakhand Glacier Burst | What caused the Uttarakhand Flood?,https://www.youtube.com/watch?v=Ei99UcxcnPE,189K views,1 year ago,2022-09-09 14:12:18.384721
Myanmar Coup | What is happening and Why? What is a Coup?,https://www.youtube.com/watch?v=eWja-rmuJcM,59K views,1 year ago,2022-09-09 14:12:18.384721
Overview of Budget 2021 - Important Highlights | Budget 2021 Analysis,https://www.youtube.com/watch?v=kjSjapnZPEM,83K views,1 year ago,2022-09-09 14:12:18.384721
"5 Controversial Web Series and OTT Censorship - Tandav, Mirzapur 2, Paatal Lok, etc.",https://www.youtube.com/watch?v=_7eyLytm0Uo,20K views,1 year ago,2022-09-09 14:12:18.384721
Monthly Current Affairs 2021 - January and December | Current Affairs 2021,https://www.youtube.com/watch?v=aHU4PiyH8gw,103K views,1 year ago,2022-09-09 14:12:18.384721
Tips and Tricks to remember Indian Constitution,https://www.youtube.com/watch?v=3PsH0-mfWzQ,3.7M views,1 year ago,2022-09-09 14:12:18.384721
Tips to prepare for New Pattern CLAT UG 2021 | CLAT LLB 2021 - Preparation Strategy,https://www.youtube.com/watch?v=OGjZAGRq2dg,22K views,1 year ago,2022-09-09 14:12:18.384721
Arnab Goswami Chat Leak and Privacy Policy | How safe its Watsapp Policy Update?,https://www.youtube.com/watch?v=2HRK1tEODgI,29K views,1 year ago,2022-09-09 14:12:18.384721
How to file FIR? Section 154 of CRPC | What is FIR EXPLAINED,https://www.youtube.com/watch?v=_8aVFLGjmP8,61K views,1 year ago,2022-09-09 14:12:18.384721
Should you give CLAT UG? Law as a Career after 12th | CLAT UG 2021,https://www.youtube.com/watch?v=5zqxWRlQ8oU,293K views,1 year ago,2022-09-09 14:12:18.384721
10 Important Laws everyone should know | Commons Rights of Every Indian,https://www.youtube.com/watch?v=JmhUGEEpq_E,119K views,1 year ago,2022-09-09 14:12:18.384721
Important Legal GK 2020 | CLAT UG | Competitive Exams,https://www.youtube.com/watch?v=YbbMQDIUH8E,153K views,1 year ago,2022-09-09 14:12:18.384721
Most Important Rankings of 2020 | Current Affairs Yearly Compilation 2020 | CLAT UG 2021,https://www.youtube.com/watch?v=09lLGIlK_Y0,29K views,1 year ago,2022-09-09 14:12:18.384721
"Google, Apple, Amazon: Too Big To Compete? | Monopoly Power",https://www.youtube.com/watch?v=S20FGAspZho,18K views,1 year ago,2022-09-09 14:12:18.384721
